Year,Geography,Product category,GeoCode,Value
2015,Quebec,Agriculture film,24,0.87
2015,Quebec,Textiles,24,0.88
2015,Quebec,Vehicles,24,0.23
2015,Quebec,Other products,24,0.82
2015,Ontario,"Total, all product categories",35,0.8
2015,Ontario,Construction materials,35,0.88
2015,Ontario,Electrical and electronic equipment,35,0.9
2015,Ontario,Packaging,35,0.88
2015,Ontario,Agriculture film,35,0.88
2015,Ontario,Textiles,35,0.88
2015,Ontario,Vehicles,35,0.23
2015,Ontario,Other products,35,0.79
2015,Manitoba,"Total, all product categories",46,0.77
2015,Manitoba,Construction materials,46,0.88
2015,Manitoba,Electrical and electronic equipment,46,0.91
2015,Manitoba,Packaging,46,0.88
2015,Manitoba,Agriculture film,46,0.88
2015,Manitoba,Textiles,46,0.88
2015,Manitoba,Vehicles,46,0.23
2015,Manitoba,Other products,46,0.77
2015,Saskatchewan,"Total, all product categories",47,0.74
2015,Saskatchewan,Construction materials,47,0.89
2015,Saskatchewan,Electrical and electronic equipment,47,0.91
2015,Saskatchewan,Packaging,47,0.88
2015,Saskatchewan,Agriculture film,47,0.88
2015,Saskatchewan,Textiles,47,0.88
2015,Saskatchewan,Vehicles,47,0.23
2015,Saskatchewan,Other products,47,0.7
2015,Alberta,"Total, all product categories",48,0.76
2015,Alberta,Construction materials,48,0.88
2015,Alberta,Electrical and electronic equipment,48,0.91
2015,Alberta,Packaging,48,0.88
2015,Alberta,Agriculture film,48,0.88
2015,Alberta,Textiles,48,0.88
2015,Alberta,Vehicles,48,0.23
2015,Alberta,Other products,48,0.68
2015,British Columbia,"Total, all product categories",59,0.73
2015,British Columbia,Construction materials,59,0.88
2015,British Columbia,Electrical and electronic equipment,59,0.88
2015,British Columbia,Packaging,59,0.88
2015,British Columbia,Agriculture film,59,0.87
2015,British Columbia,Textiles,59,0.88
2015,British Columbia,Vehicles,59,0.23
2015,British Columbia,Other products,59,0.69
2015,Yukon,"Total, all product categories",60,3.44
2015,Yukon,Construction materials,60,0.94
2015,Yukon,Electrical and electronic equipment,60,0.83
2015,Yukon,Packaging,60,0.88
2015,Yukon,Agriculture film,60,0.0
2015,Yukon,Textiles,60,0.82
2015,Yukon,Vehicles,60,20.03
2015,Yukon,Other products,60,0.66
2015,Northwest Territories,"Total, all product categories",61,2.81
2015,Northwest Territories,Construction materials,61,0.85
2015,Northwest Territories,Electrical and electronic equipment,61,0.92
2015,Northwest Territories,Packaging,61,0.9
2015,Northwest Territories,Agriculture film,61,0.0
2015,Northwest Territories,Textiles,61,0.97
2015,Northwest Territories,Vehicles,61,20.02
2015,Northwest Territories,Other products,61,0.6
2015,Nunavut,"Total, all product categories",62,2.74
2015,Nunavut,Construction materials,62,1.14
2015,Nunavut,Electrical and electronic equipment,62,0.95
2015,Nunavut,Packaging,62,0.88
2015,Nunavut,Textiles,62,1.1
2015,Nunavut,Vehicles,62,20.0
2015,Nunavut,Other products,62,0.6
2015,Canadian territorial enclaves abroad,"Total, all product categories",,1.01
2015,Canadian territorial enclaves abroad,Construction materials,,0.0
2015,Canadian territorial enclaves abroad,Electrical and electronic equipment,,0.71
2015,Canadian territorial enclaves abroad,Packaging,,0.97
2015,Canadian territorial enclaves abroad,Textiles,,1.02
2015,Canadian territorial enclaves abroad,Vehicles,,0.0
2015,Canadian territorial enclaves abroad,Other products,,1.03
2016,Canada,Construction materials,,0.88
2016,Canada,Electrical and electronic equipment,,0.9
2016,Canada,Electronics,,0.88
2016,Canada,Major appliances,,0.88
2016,Canada,Other electrical and electronic equipment,,0.92
2016,Canada,Packaging,,0.88
2016,Canada,Bottles,,0.88
2016,Canada,Film,,0.88
2016,Canada,Non-bottle rigid,,0.88
2016,Canada,Other packaging products,,0.88
2016,Canada,Agriculture film,,0.88
2016,Canada,Textiles,,0.88
2016,Canada,Vehicles,,0.69
2016,Canada,Other products,,0.76
2016,Newfoundland and Labrador,"Total, all product categories",10,3.7
2016,Newfoundland and Labrador,Construction materials,10,0.87
2016,Newfoundland and Labrador,Electrical and electronic equipment,10,0.9
2016,Newfoundland and Labrador,Packaging,10,0.88
2016,Newfoundland and Labrador,Agriculture film,10,0.71
2016,Newfoundland and Labrador,Textiles,10,0.88
2016,Newfoundland and Labrador,Vehicles,10,20.0
2016,Newfoundland and Labrador,Other products,10,0.49
2016,Prince Edward Island,"Total, all product categories",11,0.69
2016,Prince Edward Island,Construction materials,11,0.9
2016,Prince Edward Island,Electrical and electronic equipment,11,0.9
2016,Prince Edward Island,Packaging,11,0.89
2016,Prince Edward Island,Agriculture film,11,0.88
2016,Prince Edward Island,Textiles,11,0.87
2016,Prince Edward Island,Vehicles,11,0.21
2016,Prince Edward Island,Other products,11,0.58
2016,Nova Scotia,"Total, all product categories",12,0.69
2016,Nova Scotia,Construction materials,12,0.88
2016,Nova Scotia,Electrical and electronic equipment,12,0.91
2016,Nova Scotia,Packaging,12,0.88
2016,Nova Scotia,Agriculture film,12,0.88
2016,Nova Scotia,Textiles,12,0.88
2016,Nova Scotia,Vehicles,12,0.23
2016,Nova Scotia,Other products,12,0.67
2016,New Brunswick,"Total, all product categories",13,0.73
2016,New Brunswick,Construction materials,13,0.88
2016,New Brunswick,Electrical and electronic equipment,13,0.91
2016,New Brunswick,Packaging,13,0.88
2016,New Brunswick,Agriculture film,13,0.88
2016,New Brunswick,Textiles,13,0.87
2016,New Brunswick,Vehicles,13,0.22
2016,New Brunswick,Other products,13,0.73
2016,Quebec,"Total, all product categories",24,0.76
2016,Quebec,Construction materials,24,0.88
2016,Quebec,Electrical and electronic equipment,24,0.9
2016,Quebec,Packaging,24,0.88
2016,Quebec,Agriculture film,24,0.88
2016,Quebec,Textiles,24,0.88
2016,Quebec,Vehicles,24,0.23
2016,Quebec,Other products,24,0.83
2016,Ontario,"Total, all product categories",35,0.8
2016,Ontario,Construction materials,35,0.88
2016,Ontario,Electrical and electronic equipment,35,0.9
2016,Ontario,Packaging,35,0.88
2016,Ontario,Agriculture film,35,0.87
2016,Ontario,Textiles,35,0.88
2016,Ontario,Vehicles,35,0.23
2016,Ontario,Other products,35,0.79
2016,Manitoba,"Total, all product categories",46,0.76
2016,Manitoba,Construction materials,46,0.88
2016,Manitoba,Electrical and electronic equipment,46,0.9
2016,Manitoba,Packaging,46,0.88
2016,Manitoba,Agriculture film,46,0.87
2016,Manitoba,Textiles,46,0.89
2016,Manitoba,Vehicles,46,0.23
2016,Manitoba,Other products,46,0.78
2016,Saskatchewan,"Total, all product categories",47,0.75
2016,Saskatchewan,Construction materials,47,0.87
2016,Saskatchewan,Electrical and electronic equipment,47,0.91
2016,Saskatchewan,Packaging,47,0.88
2016,Saskatchewan,Agriculture film,47,0.88
2016,Saskatchewan,Textiles,47,0.88
2016,Saskatchewan,Vehicles,47,0.23
2016,Saskatchewan,Other products,47,0.71
2016,Alberta,"Total, all product categories",48,0.76
2016,Alberta,Construction materials,48,0.88
2016,Alberta,Electrical and electronic equipment,48,0.9
2016,Alberta,Packaging,48,0.88
2016,Alberta,Agriculture film,48,0.88
2016,Alberta,Textiles,48,0.88
2016,Alberta,Vehicles,48,0.23
2016,Alberta,Other products,48,0.7
2016,British Columbia,"Total, all product categories",59,0.71
2016,British Columbia,Construction materials,59,0.88
2016,British Columbia,Electrical and electronic equipment,59,0.88
2016,British Columbia,Packaging,59,0.88
2016,British Columbia,Agriculture film,59,0.89
2016,British Columbia,Textiles,59,0.88
2016,British Columbia,Vehicles,59,0.23
2016,British Columbia,Other products,59,0.66
2016,Yukon,"Total, all product categories",60,3.74
2016,Yukon,Construction materials,60,0.88
2016,Yukon,Electrical and electronic equipment,60,0.84
2016,Yukon,Packaging,60,0.89
2016,Yukon,Agriculture film,60,0.0
2016,Yukon,Textiles,60,0.77
2016,Yukon,Vehicles,60,20.02
2016,Yukon,Other products,60,0.63
2016,Northwest Territories,"Total, all product categories",61,3.4
2016,Northwest Territories,Construction materials,61,0.96
2016,Northwest Territories,Electrical and electronic equipment,61,0.9
2016,Northwest Territories,Packaging,61,0.87
2016,Northwest Territories,Agriculture film,61,0.0
2016,Northwest Territories,Textiles,61,0.82
2016,Northwest Territories,Vehicles,61,19.96
2016,Northwest Territories,Other products,61,0.59
2016,Nunavut,"Total, all product categories",62,2.76
2016,Nunavut,Construction materials,62,1.12
2016,Nunavut,Electrical and electronic equipment,62,0.97
2016,Nunavut,Packaging,62,0.92
2016,Nunavut,Textiles,62,1.09
2016,Nunavut,Vehicles,62,19.89
2016,Nunavut,Other products,62,0.61
2016,Canadian territorial enclaves abroad,"Total, all product categories",,1.01
2016,Canadian territorial enclaves abroad,Construction materials,,0.0
2016,Canadian territorial enclaves abroad,Electrical and electronic equipment,,0.71
2016,Canadian territorial enclaves abroad,Packaging,,0.97
2016,Canadian territorial enclaves abroad,Textiles,,1.06
2016,Canadian territorial enclaves abroad,Vehicles,,0.0
2016,Canadian territorial enclaves abroad,Other products,,1.03
2017,Canada,Construction materials,,0.88
2017,Canada,Electrical and electronic equipment,,0.9
2017,Canada,Electronics,,0.88
2017,Canada,Major appliances,,0.88
2017,Canada,Other electrical and electronic equipment,,0.92
2017,Canada,Packaging,,0.88
2017,Canada,Bottles,,0.88
2017,Canada,Film,,0.88
2017,Canada,Non-bottle rigid,,0.88
2017,Canada,Other packaging products,,0.88
2017,Canada,Agriculture film,,0.88
2017,Canada,Textiles,,0.88
2017,Canada,Vehicles,,0.62
2017,Canada,Other products,,0.75
2017,Newfoundland and Labrador,"Total, all product categories",10,4.46
2017,Newfoundland and Labrador,Construction materials,10,0.89
2017,Newfoundland and Labrador,Electrical and electronic equipment,10,0.91
2017,Newfoundland and Labrador,Packaging,10,0.88
2017,Newfoundland and Labrador,Agriculture film,10,0.7
2017,Newfoundland and Labrador,Textiles,10,0.87
2017,Newfoundland and Labrador,Vehicles,10,20.0
2017,Newfoundland and Labrador,Other products,10,0.66
2017,Prince Edward Island,"Total, all product categories",11,0.67
2017,Prince Edward Island,Construction materials,11,0.9
2017,Prince Edward Island,Electrical and electronic equipment,11,0.93
2017,Prince Edward Island,Packaging,11,0.89
2017,Prince Edward Island,Agriculture film,11,0.89
2017,Prince Edward Island,Textiles,11,0.87
2017,Prince Edward Island,Vehicles,11,0.22
2017,Prince Edward Island,Other products,11,0.52
2017,Nova Scotia,"Total, all product categories",12,0.68
2017,Nova Scotia,Construction materials,12,0.89
2017,Nova Scotia,Electrical and electronic equipment,12,0.91
2017,Nova Scotia,Packaging,12,0.88
2017,Nova Scotia,Agriculture film,12,0.89
2017,Nova Scotia,Textiles,12,0.88
2017,Nova Scotia,Vehicles,12,0.23
2017,Nova Scotia,Other products,12,0.58
2017,New Brunswick,"Total, all product categories",13,0.72
2017,New Brunswick,Construction materials,13,0.89
2017,New Brunswick,Electrical and electronic equipment,13,0.91
2017,New Brunswick,Packaging,13,0.88
2017,New Brunswick,Agriculture film,13,0.89
2017,New Brunswick,Textiles,13,0.89
2017,New Brunswick,Vehicles,13,0.23
2017,New Brunswick,Other products,13,0.73
2017,Quebec,"Total, all product categories",24,0.74
2017,Quebec,Construction materials,24,0.88
2017,Quebec,Electrical and electronic equipment,24,0.9
2017,Quebec,Packaging,24,0.88
2017,Quebec,Agriculture film,24,0.89
2017,Quebec,Textiles,24,0.88
2017,Quebec,Vehicles,24,0.23
2017,Quebec,Other products,24,0.81
2017,Ontario,"Total, all product categories",35,0.77
2017,Ontario,Construction materials,35,0.88
2017,Ontario,Electrical and electronic equipment,35,0.91
2017,Ontario,Packaging,35,0.88
2017,Ontario,Agriculture film,35,0.88
2017,Ontario,Textiles,35,0.88
2017,Ontario,Vehicles,35,0.23
2017,Ontario,Other products,35,0.77
2017,Manitoba,"Total, all product categories",46,0.75
2017,Manitoba,Construction materials,46,0.88
2017,Manitoba,Electrical and electronic equipment,46,0.91
2017,Manitoba,Packaging,46,0.88
2017,Manitoba,Agriculture film,46,0.88
2017,Manitoba,Textiles,46,0.88
2017,Manitoba,Vehicles,46,0.23
2017,Manitoba,Other products,46,0.76
2017,Saskatchewan,"Total, all product categories",47,0.74
2017,Saskatchewan,Construction materials,47,0.88
2017,Saskatchewan,Electrical and electronic equipment,47,0.91
2017,Saskatchewan,Packaging,47,0.88
2017,Saskatchewan,Agriculture film,47,0.88
2017,Saskatchewan,Textiles,47,0.88
2017,Saskatchewan,Vehicles,47,0.22
2017,Saskatchewan,Other products,47,0.7
2017,Alberta,"Total, all product categories",48,0.75
2017,Alberta,Construction materials,48,0.88
2017,Alberta,Electrical and electronic equipment,48,0.91
2017,Alberta,Packaging,48,0.88
2017,Alberta,Agriculture film,48,0.88
2017,Alberta,Textiles,48,0.88
2017,Alberta,Vehicles,48,0.23
2017,Alberta,Other products,48,0.7
2017,British Columbia,"Total, all product categories",59,0.69
2017,British Columbia,Construction materials,59,0.88
2017,British Columbia,Electrical and electronic equipment,59,0.88
2017,British Columbia,Packaging,59,0.88
2017,British Columbia,Agriculture film,59,0.9
2017,British Columbia,Textiles,59,0.88
2017,British Columbia,Vehicles,59,0.23
2017,British Columbia,Other products,59,0.64
2017,Yukon,"Total, all product categories",60,3.9
2017,Yukon,Construction materials,60,0.97
2017,Yukon,Electrical and electronic equipment,60,0.97
2017,Yukon,Packaging,60,0.88
2017,Yukon,Agriculture film,60,0.0
2017,Yukon,Textiles,60,0.85
2017,Yukon,Vehicles,60,20.02
2017,Yukon,Other products,60,0.59
2017,Northwest Territories,"Total, all product categories",61,4.22
2017,Northwest Territories,Construction materials,61,0.96
2017,Northwest Territories,Electrical and electronic equipment,61,0.87
2017,Northwest Territories,Packaging,61,0.88
2017,Northwest Territories,Agriculture film,61,0.0
2017,Northwest Territories,Textiles,61,0.82
2017,Northwest Territories,Vehicles,61,20.01
2017,Northwest Territories,Other products,61,0.64
2017,Nunavut,"Total, all product categories",62,2.92
2017,Nunavut,Construction materials,62,1.09
2017,Nunavut,Electrical and electronic equipment,62,0.92
2017,Nunavut,Packaging,62,0.89
2017,Nunavut,Textiles,62,1.05
2017,Nunavut,Vehicles,62,19.92
2017,Nunavut,Other products,62,0.46
2017,Canadian territorial enclaves abroad,"Total, all product categories",,0.99
2017,Canadian territorial enclaves abroad,Construction materials,,0.0
2017,Canadian territorial enclaves abroad,Electrical and electronic equipment,,0.69
2017,Canadian territorial enclaves abroad,Packaging,,1.02
2017,Canadian territorial enclaves abroad,Textiles,,0.93
2017,Canadian territorial enclaves abroad,Vehicles,,1.69
2017,Canadian territorial enclaves abroad,Other products,,0.99
2018,Canada,Construction materials,,0.88
2018,Canada,Electrical and electronic equipment,,0.91
2018,Canada,Electronics,,0.88
2018,Canada,Major appliances,,0.88
2018,Canada,Other electrical and electronic equipment,,0.92
2018,Canada,Packaging,,0.88
2018,Canada,Bottles,,0.88
2018,Canada,Film,,0.88
2018,Canada,Non-bottle rigid,,0.88
2018,Canada,Other packaging products,,0.88
2018,Canada,Agriculture film,,0.88
2018,Canada,Textiles,,0.88
2018,Canada,Vehicles,,0.6
2018,Canada,Other products,,0.74
2018,Newfoundland and Labrador,"Total, all product categories",10,4.4
2018,Newfoundland and Labrador,Construction materials,10,0.88
2018,Newfoundland and Labrador,Electrical and electronic equipment,10,0.91
2018,Newfoundland and Labrador,Packaging,10,0.88
2018,Newfoundland and Labrador,Agriculture film,10,0.69
2018,Newfoundland and Labrador,Textiles,10,0.89
2018,Newfoundland and Labrador,Vehicles,10,20.0
2018,Newfoundland and Labrador,Other products,10,0.6
2018,Prince Edward Island,"Total, all product categories",11,0.66
2018,Prince Edward Island,Construction materials,11,0.91
2018,Prince Edward Island,Electrical and electronic equipment,11,0.93
2018,Prince Edward Island,Packaging,11,0.88
2018,Prince Edward Island,Agriculture film,11,0.91
2018,Prince Edward Island,Textiles,11,0.88
2018,Prince Edward Island,Vehicles,11,0.21
2018,Prince Edward Island,Other products,11,0.54
2018,Nova Scotia,"Total, all product categories",12,0.68
2018,Nova Scotia,Construction materials,12,0.87
2018,Nova Scotia,Electrical and electronic equipment,12,0.9
2018,Nova Scotia,Packaging,12,0.88
2018,Nova Scotia,Agriculture film,12,0.91
2018,Nova Scotia,Textiles,12,0.88
2018,Nova Scotia,Vehicles,12,0.23
2018,Nova Scotia,Other products,12,0.57
2018,New Brunswick,"Total, all product categories",13,0.72
2018,New Brunswick,Construction materials,13,0.88
2018,New Brunswick,Electrical and electronic equipment,13,0.9
2018,New Brunswick,Packaging,13,0.88
2018,New Brunswick,Agriculture film,13,0.91
2018,New Brunswick,Textiles,13,0.88
2018,New Brunswick,Vehicles,13,0.22
2018,New Brunswick,Other products,13,0.71
2018,Quebec,"Total, all product categories",24,0.74
2018,Quebec,Construction materials,24,0.88
2018,Quebec,Electrical and electronic equipment,24,0.9
2018,Quebec,Packaging,24,0.88
2018,Quebec,Agriculture film,24,0.88
2018,Quebec,Textiles,24,0.88
2018,Quebec,Vehicles,24,0.23
2018,Quebec,Other products,24,0.82
2018,Ontario,"Total, all product categories",35,0.77
2018,Ontario,Construction materials,35,0.88
2018,Ontario,Electrical and electronic equipment,35,0.91
2018,Ontario,Packaging,35,0.88
2018,Ontario,Agriculture film,35,0.88
2018,Ontario,Textiles,35,0.88
2018,Ontario,Vehicles,35,0.23
2018,Ontario,Other products,35,0.77
2018,Manitoba,"Total, all product categories",46,0.74
2018,Manitoba,Construction materials,46,0.88
2018,Manitoba,Electrical and electronic equipment,46,0.91
2018,Manitoba,Packaging,46,0.88
2018,Manitoba,Agriculture film,46,0.89
2018,Manitoba,Textiles,46,0.88
2018,Manitoba,Vehicles,46,0.23
2018,Manitoba,Other products,46,0.74
2018,Saskatchewan,"Total, all product categories",47,0.74
2018,Saskatchewan,Construction materials,47,0.89
2018,Saskatchewan,Electrical and electronic equipment,47,0.91
2018,Saskatchewan,Packaging,47,0.88
2018,Saskatchewan,Agriculture film,47,0.88
2018,Saskatchewan,Textiles,47,0.88
2018,Saskatchewan,Vehicles,47,0.23
2018,Saskatchewan,Other products,47,0.69
2018,Alberta,"Total, all product categories",48,0.74
2018,Alberta,Construction materials,48,0.88
2018,Alberta,Electrical and electronic equipment,48,0.91
2018,Alberta,Packaging,48,0.88
2018,Alberta,Agriculture film,48,0.88
2018,Alberta,Textiles,48,0.88
2018,Alberta,Vehicles,48,0.23
2018,Alberta,Other products,48,0.68
2018,British Columbia,"Total, all product categories",59,0.69
2018,British Columbia,Construction materials,59,0.88
2018,British Columbia,Electrical and electronic equipment,59,0.88
2018,British Columbia,Packaging,59,0.88
2018,British Columbia,Agriculture film,59,0.87
2018,British Columbia,Textiles,59,0.88
2018,British Columbia,Vehicles,59,0.23
2018,British Columbia,Other products,59,0.64
2018,Yukon,"Total, all product categories",60,3.34
2018,Yukon,Construction materials,60,0.97
2018,Yukon,Electrical and electronic equipment,60,0.96
2018,Yukon,Packaging,60,0.9
2018,Yukon,Agriculture film,60,0.0
2018,Yukon,Textiles,60,0.85
2018,Yukon,Vehicles,60,19.97
2018,Yukon,Other products,60,0.55
2018,Northwest Territories,"Total, all product categories",61,4.38
2018,Northwest Territories,Construction materials,61,0.98
2018,Northwest Territories,Electrical and electronic equipment,61,0.96
2018,Northwest Territories,Packaging,61,0.9
2018,Northwest Territories,Agriculture film,61,0.0
2018,Northwest Territories,Textiles,61,0.84
2018,Northwest Territories,Vehicles,61,19.97
2018,Northwest Territories,Other products,61,0.6
2018,Nunavut,"Total, all product categories",62,2.91
2018,Nunavut,Construction materials,62,1.0
2018,Nunavut,Electrical and electronic equipment,62,0.94
2018,Nunavut,Packaging,62,0.92
2018,Nunavut,Textiles,62,0.97
2018,Nunavut,Vehicles,62,19.97
2018,Nunavut,Other products,62,0.41
2018,Canadian territorial enclaves abroad,"Total, all product categories",,0.99
2018,Canadian territorial enclaves abroad,Construction materials,,0.0
2018,Canadian territorial enclaves abroad,Electrical and electronic equipment,,1.03
2018,Canadian territorial enclaves abroad,Packaging,,1.02
2018,Canadian territorial enclaves abroad,Textiles,,0.94
2018,Canadian territorial enclaves abroad,Vehicles,,1.59
2018,Canadian territorial enclaves abroad,Other products,,1.03
2019,Canada,Construction materials,,0.88
2019,Canada,Electrical and electronic equipment,,0.9
2019,Canada,Electronics,,0.88
2019,Canada,Major appliances,,0.88
2019,Canada,Other electrical and electronic equipment,,0.92
2019,Canada,Packaging,,0.88
2019,Canada,Bottles,,0.88
2019,Canada,Film,,0.88
2019,Canada,Non-bottle rigid,,0.88
2019,Canada,Other packaging products,,0.88
2019,Canada,Agriculture film,,0.88
2019,Canada,Textiles,,0.88
2019,Canada,Vehicles,,0.63
2019,Canada,Other products,,0.74
2019,Newfoundland and Labrador,"Total, all product categories",10,4.59
2019,Newfoundland and Labrador,Construction materials,10,0.89
2019,Newfoundland and Labrador,Electrical and electronic equipment,10,0.91
2019,Newfoundland and Labrador,Packaging,10,0.88
2019,Newfoundland and Labrador,Agriculture film,10,0.68
2019,Newfoundland and Labrador,Textiles,10,0.88
2019,Newfoundland and Labrador,Vehicles,10,20.0
2019,Newfoundland and Labrador,Other products,10,0.58
2019,Prince Edward Island,"Total, all product categories",11,0.65
2019,Prince Edward Island,Construction materials,11,0.89
2019,Prince Edward Island,Electrical and electronic equipment,11,0.89
2019,Prince Edward Island,Packaging,11,0.88
2019,Prince Edward Island,Agriculture film,11,0.86
2019,Prince Edward Island,Textiles,11,0.86
2019,Prince Edward Island,Vehicles,11,0.22
2019,Prince Edward Island,Other products,11,0.51
2019,Nova Scotia,"Total, all product categories",12,0.68
2019,Nova Scotia,Construction materials,12,0.89
2019,Nova Scotia,Electrical and electronic equipment,12,0.91
2019,Nova Scotia,Packaging,12,0.88
2019,Nova Scotia,Agriculture film,12,0.86
2019,Nova Scotia,Textiles,12,0.89
2019,Nova Scotia,Vehicles,12,0.23
2019,Nova Scotia,Other products,12,0.57
2019,New Brunswick,"Total, all product categories",13,0.72
2019,New Brunswick,Construction materials,13,0.88
2019,New Brunswick,Electrical and electronic equipment,13,0.9
2019,New Brunswick,Packaging,13,0.88
2019,New Brunswick,Agriculture film,13,0.86
2019,New Brunswick,Textiles,13,0.89
2019,New Brunswick,Vehicles,13,0.22
2019,New Brunswick,Other products,13,0.71
2019,Quebec,"Total, all product categories",24,0.74
2019,Quebec,Construction materials,24,0.88
2019,Quebec,Electrical and electronic equipment,24,0.9
2019,Quebec,Packaging,24,0.88
2019,Quebec,Agriculture film,24,0.89
2019,Quebec,Textiles,24,0.88
2019,Quebec,Vehicles,24,0.23
2019,Quebec,Other products,24,0.83
2019,Ontario,"Total, all product categories",35,0.77
2019,Ontario,Construction materials,35,0.88
2019,Ontario,Electrical and electronic equipment,35,0.91
2019,Ontario,Packaging,35,0.88
2019,Ontario,Agriculture film,35,0.88
2019,Ontario,Textiles,35,0.88
2019,Ontario,Vehicles,35,0.23
2019,Ontario,Other products,35,0.77
2019,Manitoba,"Total, all product categories",46,0.73
2019,Manitoba,Construction materials,46,0.88
2019,Manitoba,Electrical and electronic equipment,46,0.91
2019,Manitoba,Packaging,46,0.88
2019,Manitoba,Agriculture film,46,0.88
2019,Manitoba,Textiles,46,0.88
2019,Manitoba,Vehicles,46,0.23
2019,Manitoba,Other products,46,0.73
2019,Saskatchewan,"Total, all product categories",47,0.73
2019,Saskatchewan,Construction materials,47,0.88
2019,Saskatchewan,Electrical and electronic equipment,47,0.91
2019,Saskatchewan,Packaging,47,0.88
2019,Saskatchewan,Agriculture film,47,0.88
2019,Saskatchewan,Textiles,47,0.88
2019,Saskatchewan,Vehicles,47,0.23
2019,Saskatchewan,Other products,47,0.7
2019,Alberta,"Total, all product categories",48,0.74
2019,Alberta,Construction materials,48,0.88
2019,Alberta,Electrical and electronic equipment,48,0.91
2019,Alberta,Packaging,48,0.88
2019,Alberta,Agriculture film,48,0.88
2019,Alberta,Textiles,48,0.88
2019,Alberta,Vehicles,48,0.23
2019,Alberta,Other products,48,0.67
2019,British Columbia,"Total, all product categories",59,0.68
2019,British Columbia,Construction materials,59,0.88
2019,British Columbia,Electrical and electronic equipment,59,0.88
2019,British Columbia,Packaging,59,0.88
2019,British Columbia,Agriculture film,59,0.87
2019,British Columbia,Textiles,59,0.88
2019,British Columbia,Vehicles,59,0.23
2019,British Columbia,Other products,59,0.62
2019,Yukon,"Total, all product categories",60,3.35
2019,Yukon,Construction materials,60,0.92
2019,Yukon,Electrical and electronic equipment,60,0.89
2019,Yukon,Packaging,60,0.9
2019,Yukon,Agriculture film,60,0.0
2019,Yukon,Textiles,60,0.8
2019,Yukon,Vehicles,60,20.0
2019,Yukon,Other products,60,0.62
2019,Northwest Territories,"Total, all product categories",61,4.32
2019,Northwest Territories,Construction materials,61,1.01
2019,Northwest Territories,Electrical and electronic equipment,61,0.92
2019,Northwest Territories,Packaging,61,0.87
2019,Northwest Territories,Agriculture film,61,0.0
2019,Northwest Territories,Textiles,61,0.86
2019,Northwest Territories,Vehicles,61,20.01
2019,Northwest Territories,Other products,61,0.59
2019,Nunavut,"Total, all product categories",62,3.52
2019,Nunavut,Construction materials,62,0.99
2019,Nunavut,Electrical and electronic equipment,62,0.88
2019,Nunavut,Packaging,62,0.91
2019,Nunavut,Textiles,62,0.96
2019,Nunavut,Vehicles,62,19.98
2019,Nunavut,Other products,62,0.42
2019,Canadian territorial enclaves abroad,"Total, all product categories",,1.02
2019,Canadian territorial enclaves abroad,Construction materials,,0.0
